model,label,library,type,parameters,tags
ada,Boosted Classification Trees,"ada, plyr",Classification,"iter, maxdepth, nu","Tree-Based Model, Ensemble Model, Boosting, Implicit Feature Selection, Two Class Only, Handle Missing Predictor Data"
AdaBag,Bagged AdaBoost,"adabag, plyr",Classification,"mfinal, maxdepth","Tree-Based Model, Ensemble Model, Boosting, Bagging, Implicit Feature Selection, Handle Missing Predictor Data"
AdaBoost.M1,AdaBoost.M1,"adabag, plyr",Classification,"mfinal, maxdepth, coeflearn","Tree-Based Model, Ensemble Model, Boosting, Implicit Feature Selection, Handle Missing Predictor Data"
adaboost,AdaBoost Classification Trees,fastAdaboost,Classification,"nIter, method","Tree-Based Model, Ensemble Model, Boosting, Implicit Feature Selection, Two Class Only"
amdai,Adaptive Mixture Discriminant Analysis,adaptDA,Classification,model,"Discriminant Analysis, Mixture Model"
ANFIS,Adaptive-Network-Based Fuzzy Inference System,frbs,Regression,"num.labels, max.iter",Rule-Based Model
avNNet,Model Averaged Neural Network,nnet,Classification,"size, decay, bag","Neural Network, Ensemble Model, Bagging, L2 Regularization, Accepts Case Weights"
avNNet,Model Averaged Neural Network,nnet,Regression,"size, decay, bag","Neural Network, Ensemble Model, Bagging, L2 Regularization, Accepts Case Weights"
awnb,Naive Bayes Classifier with Attribute Weighting,bnclassify,Classification,smooth,"Bayesian Model, Categorical Predictors Only"
awtan,Tree Augmented Naive Bayes Classifier with Attribute Weighting,bnclassify,Classification,"score, smooth","Bayesian Model, Categorical Predictors Only"
bag,Bagged Model,caret,Regression,vars,"Bagging, Ensemble Model"
bag,Bagged Model,caret,Classification,vars,"Bagging, Ensemble Model"
bagEarth,Bagged MARS,earth,Regression,"nprune, degree","Multivariate Adaptive Regression Splines, Ensemble Model, Implicit Feature Selection, Bagging, Accepts Case Weights"
bagEarth,Bagged MARS,earth,Classification,"nprune, degree","Multivariate Adaptive Regression Splines, Ensemble Model, Implicit Feature Selection, Bagging, Accepts Case Weights"
bagEarthGCV,Bagged MARS using gCV Pruning,earth,Regression,degree,"Multivariate Adaptive Regression Splines, Ensemble Model, Implicit Feature Selection, Bagging, Accepts Case Weights"
bagEarthGCV,Bagged MARS using gCV Pruning,earth,Classification,degree,"Multivariate Adaptive Regression Splines, Ensemble Model, Implicit Feature Selection, Bagging, Accepts Case Weights"
bagFDA,Bagged Flexible Discriminant Analysis,"earth, mda",Classification,"degree, nprune","Multivariate Adaptive Regression Splines, Ensemble Model, Implicit Feature Selection, Bagging, Accepts Case Weights"
bagFDAGCV,Bagged FDA using gCV Pruning,earth,Classification,degree,"Multivariate Adaptive Regression Splines, Ensemble Model, Implicit Feature Selection, Bagging"
bam,Generalized Additive Model using Splines,mgcv,Regression,"select, method","Generalized Linear Model, Generalized Additive Model"
bam,Generalized Additive Model using Splines,mgcv,Classification,"select, method","Generalized Linear Model, Generalized Additive Model"
bartMachine,Bayesian Additive Regression Trees,bartMachine,Classification,"num_trees, k, alpha, beta, nu","Tree-Based Model, Implicit Feature Selection, Bayesian Model, Two Class Only"
bartMachine,Bayesian Additive Regression Trees,bartMachine,Regression,"num_trees, k, alpha, beta, nu","Tree-Based Model, Implicit Feature Selection, Bayesian Model, Two Class Only"
bayesglm,Bayesian Generalized Linear Model,arm,Regression,parameter,"Generalized Linear Model, Logistic Regression, Linear Classifier, Bayesian Model, Accepts Case Weights"
bayesglm,Bayesian Generalized Linear Model,arm,Classification,parameter,"Generalized Linear Model, Logistic Regression, Linear Classifier, Bayesian Model, Accepts Case Weights"
binda,Binary Discriminant Analysis,binda,Classification,lambda.freqs,"Discriminant Analysis, Two Class Only, Binary Predictors Only"
blackboost,Boosted Tree,"party, mboost, plyr, partykit",Regression,"mstop, maxdepth","Tree-Based Model, Ensemble Model, Boosting, Accepts Case Weights"
blackboost,Boosted Tree,"party, mboost, plyr, partykit",Classification,"mstop, maxdepth","Tree-Based Model, Ensemble Model, Boosting, Accepts Case Weights"
blasso,The Bayesian lasso,monomvn,Regression,sparsity,"Linear Regression, Bayesian Model, Implicit Feature Selection, L1 Regularization"
blassoAveraged,Bayesian Ridge Regression (Model Averaged),monomvn,Regression,parameter,"Linear Regression, Bayesian Model, L1 Regularization"
bridge,Bayesian Ridge Regression,monomvn,Regression,parameter,"Linear Regression, Bayesian Model, L2 Regularization"
brnn,Bayesian Regularized Neural Networks,brnn,Regression,neurons,"Bayesian Model, Neural Network, Regularization"
BstLm,Boosted Linear Model,"bst, plyr",Regression,"mstop, nu","Linear Regression, Ensemble Model, Boosting, Implicit Feature Selection"
BstLm,Boosted Linear Model,"bst, plyr",Classification,"mstop, nu","Linear Regression, Ensemble Model, Boosting, Implicit Feature Selection"
bstSm,Boosted Smoothing Spline,"bst, plyr",Regression,"mstop, nu","Ensemble Model, Boosting, Implicit Feature Selection"
bstSm,Boosted Smoothing Spline,"bst, plyr",Classification,"mstop, nu","Ensemble Model, Boosting, Implicit Feature Selection"
bstTree,Boosted Tree,"bst, plyr",Regression,"mstop, maxdepth, nu","Tree-Based Model, Ensemble Model, Boosting"
bstTree,Boosted Tree,"bst, plyr",Classification,"mstop, maxdepth, nu","Tree-Based Model, Ensemble Model, Boosting"
C5.0,C5.0,"C50, plyr",Classification,"trials, model, winnow","Tree-Based Model, Rule-Based Model, Implicit Feature Selection, Boosting, Ensemble Model, Handle Missing Predictor Data, Accepts Case Weights"
C5.0Cost,Cost-Sensitive C5.0,"C50, plyr",Classification,"trials, model, winnow, cost","Tree-Based Model, Rule-Based Model, Implicit Feature Selection, Boosting, Ensemble Model, Cost Sensitive Learning, Two Class Only, Handle Missing Predictor Data, Accepts Case Weights"
C5.0Rules,Single C5.0 Ruleset,C50,Classification,parameter,"Rule-Based Model, Implicit Feature Selection, Handle Missing Predictor Data, Accepts Case Weights"
C5.0Tree,Single C5.0 Tree,C50,Classification,parameter,"Tree-Based Model, Implicit Feature Selection, Handle Missing Predictor Data, Accepts Case Weights"
cforest,Conditional Inference Random Forest,party,Classification,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Accepts Case Weights"
cforest,Conditional Inference Random Forest,party,Regression,mtry,"Random Forest, Ensemble Model, Bagging, Implicit Feature Selection, Accepts Case Weights"
chaid,CHi-squared Automated Interaction Detection,CHAID,Classification,"alpha2, alpha3, alpha4","Tree-Based Model, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
CSimca,SIMCA,"rrcov, rrcovHD",Classification,parameter,Robust Model
ctree,Conditional Inference Tree,party,Classification,mincriterion,"Tree-Based Model, Implicit Feature Selection, Accepts Case Weights"
ctree,Conditional Inference Tree,party,Regression,mincriterion,"Tree-Based Model, Implicit Feature Selection, Accepts Case Weights"
ctree2,Conditional Inference Tree,party,Regression,"maxdepth, mincriterion","Tree-Based Model, Implicit Feature Selection, Accepts Case Weights"
ctree2,Conditional Inference Tree,party,Classification,"maxdepth, mincriterion","Tree-Based Model, Implicit Feature Selection, Accepts Case Weights"
cubist,Cubist,Cubist,Regression,"committees, neighbors","Rule-Based Model, Boosting, Ensemble Model, Prototype Models, Model Tree, Linear Regression, Implicit Feature Selection"
dda,Diagonal Discriminant Analysis,sparsediscrim,Classification,"model, shrinkage","Discriminant Analysis, Linear Classifier, Polynomial Model, Regularization"
deepboost,DeepBoost,deepboost,Classification,"num_iter, tree_depth, beta, lambda, loss_type","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights, L1 Regularization, Two Class Only"
DENFIS,Dynamic Evolving Neural-Fuzzy Inference System ,frbs,Regression,"Dthr, max.iter",Rule-Based Model
dnn,Stacked AutoEncoder Deep Neural Network,deepnet,Classification,"layer1, layer2, layer3, hidden_dropout, visible_dropout",Neural Network
dnn,Stacked AutoEncoder Deep Neural Network,deepnet,Regression,"layer1, layer2, layer3, hidden_dropout, visible_dropout",Neural Network
dwdLinear,Linear Distance Weighted Discrimination,kerndwd,Classification,"lambda, qval","Discriminant Analysis, L2 Regularization, Kernel Method, Linear Classifier, Distance Weighted Discrimination, Two Class Only"
dwdPoly,Distance Weighted Discrimination with Polynomial Kernel,kerndwd,Classification,"lambda, qval, degree, scale","Discriminant Analysis, L2 Regularization, Kernel Method, Polynomial Model, Distance Weighted Discrimination, Two Class Only"
dwdRadial,Distance Weighted Discrimination with Radial Basis Function Kernel,"kernlab, kerndwd",Classification,"lambda, qval, sigma","Discriminant Analysis, L2 Regularization, Kernel Method, Radial Basis Function, Distance Weighted Discrimination, Two Class Only"
earth,Multivariate Adaptive Regression Spline,earth,Regression,"nprune, degree","Multivariate Adaptive Regression Splines, Implicit Feature Selection, Accepts Case Weights"
earth,Multivariate Adaptive Regression Spline,earth,Classification,"nprune, degree","Multivariate Adaptive Regression Splines, Implicit Feature Selection, Accepts Case Weights"
elm,Extreme Learning Machine,elmNN,Classification,"nhid, actfun",Neural Network
elm,Extreme Learning Machine,elmNN,Regression,"nhid, actfun",Neural Network
enet,Elasticnet,elasticnet,Regression,"fraction, lambda","Linear Regression, Implicit Feature Selection, L1 Regularization"
evtree,Tree Models from Genetic Algorithms,evtree,Regression,alpha,"Tree-Based Model, Implicit Feature Selection, Accepts Case Weights"
evtree,Tree Models from Genetic Algorithms,evtree,Classification,alpha,"Tree-Based Model, Implicit Feature Selection, Accepts Case Weights"
extraTrees,Random Forest by Randomization,extraTrees,Regression,"mtry, numRandomCuts","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
extraTrees,Random Forest by Randomization,extraTrees,Classification,"mtry, numRandomCuts","Random Forest, Ensemble Model, Bagging, Implicit Feature Selection"
fda,Flexible Discriminant Analysis,"earth, mda",Classification,"degree, nprune","Multivariate Adaptive Regression Splines, Implicit Feature Selection, Accepts Case Weights"
FH.GBML,Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh,frbs,Classification,"max.num.rule, popu.size, max.gen",Rule-Based Model
FIR.DM,Fuzzy Inference Rules by Descent Method,frbs,Regression,"num.labels, max.iter",Rule-Based Model
foba,Ridge Regression with Variable Selection,foba,Regression,"k, lambda","Linear Regression, Ridge Regression, L2 Regularization, Feature Selection Wrapper"
FRBCS.CHI,Fuzzy Rules Using Chi's Method,frbs,Classification,"num.labels, type.mf",Rule-Based Model
FRBCS.W,Fuzzy Rules with Weight Factor,frbs,Classification,"num.labels, type.mf",Rule-Based Model
FS.HGD,Simplified TSK Fuzzy Rules,frbs,Regression,"num.labels, max.iter",Rule-Based Model
gam,Generalized Additive Model using Splines,mgcv,Regression,"select, method","Generalized Linear Model, Generalized Additive Model"
gam,Generalized Additive Model using Splines,mgcv,Classification,"select, method","Generalized Linear Model, Generalized Additive Model"
gamboost,Boosted Generalized Additive Model,"mboost, plyr, import",Regression,"mstop, prune","Generalized Additive Model, Ensemble Model, Boosting, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
gamboost,Boosted Generalized Additive Model,"mboost, plyr, import",Classification,"mstop, prune","Generalized Additive Model, Ensemble Model, Boosting, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
gamLoess,Generalized Additive Model using LOESS,gam,Regression,"span, degree","Generalized Linear Model, Generalized Additive Model"
gamLoess,Generalized Additive Model using LOESS,gam,Classification,"span, degree","Generalized Linear Model, Generalized Additive Model"
gamSpline,Generalized Additive Model using Splines,gam,Regression,df,"Generalized Linear Model, Generalized Additive Model"
gamSpline,Generalized Additive Model using Splines,gam,Classification,df,"Generalized Linear Model, Generalized Additive Model"
gaussprLinear,Gaussian Process,kernlab,Regression,parameter,"Kernel Method, Gaussian Process, Linear Classifier"
gaussprLinear,Gaussian Process,kernlab,Classification,parameter,"Kernel Method, Gaussian Process, Linear Classifier"
gaussprPoly,Gaussian Process with Polynomial Kernel,kernlab,Regression,"degree, scale","Kernel Method, Gaussian Process, Polynomial Model"
gaussprPoly,Gaussian Process with Polynomial Kernel,kernlab,Classification,"degree, scale","Kernel Method, Gaussian Process, Polynomial Model"
gaussprRadial,Gaussian Process with Radial Basis Function Kernel,kernlab,Regression,sigma,"Kernel Method, Gaussian Process, Radial Basis Function"
gaussprRadial,Gaussian Process with Radial Basis Function Kernel,kernlab,Classification,sigma,"Kernel Method, Gaussian Process, Radial Basis Function"
gbm_h2o,Gradient Boosting Machines,h2o,Regression,"ntrees, max_depth, min_rows, learn_rate, col_sample_rate","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection"
gbm_h2o,Gradient Boosting Machines,h2o,Classification,"ntrees, max_depth, min_rows, learn_rate, col_sample_rate","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection"
gbm,Stochastic Gradient Boosting,"gbm, plyr",Regression,"n.trees, interaction.depth, shrinkage, n.minobsinnode","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights"
gbm,Stochastic Gradient Boosting,"gbm, plyr",Classification,"n.trees, interaction.depth, shrinkage, n.minobsinnode","Tree-Based Model, Boosting, Ensemble Model, Implicit Feature Selection, Accepts Case Weights"
gcvEarth,Multivariate Adaptive Regression Splines,earth,Regression,degree,"Multivariate Adaptive Regression Splines, Implicit Feature Selection, Accepts Case Weights"
gcvEarth,Multivariate Adaptive Regression Splines,earth,Classification,degree,"Multivariate Adaptive Regression Splines, Implicit Feature Selection, Accepts Case Weights"
GFS.FR.MOGUL,Fuzzy Rules via MOGUL,frbs,Regression,"max.gen, max.iter, max.tune",Rule-Based Model
GFS.LT.RS,Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems,frbs,Regression,"popu.size, num.labels, max.gen",Rule-Based Model
GFS.THRIFT,Fuzzy Rules via Thrift,frbs,Regression,"popu.size, num.labels, max.gen",Rule-Based Model
glm.nb,Negative Binomial Generalized Linear Model,MASS,Regression,link,"Generalized Linear Model, Accepts Case Weights"
glm,Generalized Linear Model,NA,Regression,parameter,"Generalized Linear Model, Linear Classifier, Two Class Only, Accepts Case Weights"
glm,Generalized Linear Model,NA,Classification,parameter,"Generalized Linear Model, Linear Classifier, Two Class Only, Accepts Case Weights"
glmboost,Boosted Generalized Linear Model,"plyr, mboost",Regression,"mstop, prune","Generalized Linear Model, Ensemble Model, Boosting, Linear Classifier, Two Class Only, Accepts Case Weights"
glmboost,Boosted Generalized Linear Model,"plyr, mboost",Classification,"mstop, prune","Generalized Linear Model, Ensemble Model, Boosting, Linear Classifier, Two Class Only, Accepts Case Weights"
glmnet_h2o,glmnet,h2o,Regression,"alpha, lambda","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression, Two Class Only"
glmnet_h2o,glmnet,h2o,Classification,"alpha, lambda","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression, Two Class Only"
glmnet,glmnet,"glmnet, Matrix",Regression,"alpha, lambda","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression"
glmnet,glmnet,"glmnet, Matrix",Classification,"alpha, lambda","Generalized Linear Model, Implicit Feature Selection, L1 Regularization, L2 Regularization, Linear Classifier, Linear Regression"
glmStepAIC,Generalized Linear Model with Stepwise Feature Selection,MASS,Regression,parameter,"Generalized Linear Model, Feature Selection Wrapper, Linear Classifier, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
glmStepAIC,Generalized Linear Model with Stepwise Feature Selection,MASS,Classification,parameter,"Generalized Linear Model, Feature Selection Wrapper, Linear Classifier, Implicit Feature Selection, Two Class Only, Accepts Case Weights"
gpls,Generalized Partial Least Squares,gpls,Classification,K.prov,"Logistic Regression, Partial Least Squares, Linear Classifier"
hda,Heteroscedastic Discriminant Analysis,hda,Classification,"gamma, lambda, newdim","Discriminant Analysis, Linear Classifier, Regularization"
hdda,High Dimensional Discriminant Analysis,HDclassif,Classification,"threshold, model","Discriminant Analysis, Linear Classifier"
hdrda,High-Dimensional Regularized Discriminant Analysis,sparsediscrim,Classification,"gamma, lambda, shrinkage_type","Discriminant Analysis, Polynomial Model, Regularization, Linear Classifier"
HYFIS,Hybrid Neural Fuzzy Inference System,frbs,Regression,"num.labels, max.iter",Rule-Based Model
icr,Independent Component Regression,fastICA,Regression,n.comp,"Linear Regression, Feature Extraction"
J48,C4.5-like Trees,RWeka,Classification,"C, M","Tree-Based Model, Implicit Feature Selection"
JRip,Rule-Based Classifier,RWeka,Classification,"NumOpt, NumFolds, MinWeights","Rule-Based Model, Implicit Feature Selection"
kernelpls,Partial Least Squares,pls,Regression,ncomp,"Partial Least Squares, Feature Extraction, Kernel Method, Linear Classifier, Linear Regression"
kernelpls,Partial Least Squares,pls,Classification,ncomp,"Partial Least Squares, Feature Extraction, Kernel Method, Linear Classifier, Linear Regression"
kknn,k-Nearest Neighbors,kknn,Regression,"kmax, distance, kernel",Prototype Models
kknn,k-Nearest Neighbors,kknn,Classification,"kmax, distance, kernel",Prototype Models
knn,k-Nearest Neighbors,NA,Classification,k,Prototype Models
knn,k-Nearest Neighbors,NA,Regression,k,Prototype Models
krlsPoly,Polynomial Kernel Regularized Least Squares,KRLS,Regression,"lambda, degree","Kernel Method, L2 Regularization, Polynomial Model"
krlsRadial,Radial Basis Function Kernel Regularized Least Squares,"KRLS, kernlab",Regression,"lambda, sigma","Kernel Method, L2 Regularization, Radial Basis Function"
lars,Least Angle Regression,lars,Regression,fraction,"Linear Regression, Implicit Feature Selection, L1 Regularization"
lars2,Least Angle Regression,lars,Regression,step,"Linear Regression, Implicit Feature Selection, L1 Regularization"
lasso,The lasso,elasticnet,Regression,fraction,"Linear Regression, Implicit Feature Selection, L1 Regularization"
lda,Linear Discriminant Analysis,MASS,Classification,parameter,"Discriminant Analysis, Linear Classifier"
lda2,Linear Discriminant Analysis,MASS,Classification,dimen,"Discriminant Analysis, Linear Classifier"
